ticket_line_id,ticket_id,store_id,sale_date,product_id,quantity,unit_price_eur,total_eur,vendor_id
TL-0072,TCK-0018,MAG007,2026-08-19,MV-P032,3,50.34,151.02,VND001
TL-0073,TCK-0019,MAG008,2026-08-20,MV-P033,1,51.71,51.71,VND002
TL-0074,TCK-0019,MAG008,2026-08-20,MV-P034,2,53.08,106.16,VND003
TL-0075,TCK-0019,MAG008,2026-08-20,MV-P035,3,54.45,163.35,VND004
TL-0076,TCK-0019,MAG008,2026-08-20,MV-P036,1,55.82,55.82,VND005
TL-0077,TCK-0020,MAG009,2026-08-21,MV-P037,2,57.19,114.38,VND006
TL-0078,TCK-0020,MAG009,2026-08-21,MV-P038,3,58.56,175.68,VND007
TL-0079,TCK-0020,MAG009,2026-08-21,MV-P039,1,59.93,59.93,VND008
TL-0080,TCK-0020,MAG009,2026-08-21,MV-P040,2,61.30,122.60,VND001
TL-0081,TCK-0021,MAG010,2026-08-22,MV-P001,3,7.87,23.61,VND002
TL-0082,TCK-0021,MAG010,2026-08-22,MV-P002,1,9.24,9.24,VND003
TL-0083,TCK-0021,MAG010,2026-08-22,MV-P003,2,10.61,21.22,VND004
TL-0084,TCK-0021,MAG010,2026-08-22,MV-P004,3,11.98,35.94,VND005
TL-0085,TCK-0022,MAG011,2026-08-23,MV-P005,1,13.35,13.35,VND006
TL-0086,TCK-0022,MAG011,2026-08-23,MV-P006,2,14.72,29.44,VND007
TL-0087,TCK-0022,MAG011,2026-08-23,MV-P007,3,16.09,48.27,VND008
TL-0088,TCK-0022,MAG011,2026-08-23,MV-P008,1,17.46,17.46,VND001
TL-0089,TCK-0023,MAG012,2026-08-24,MV-P009,2,18.83,37.66,VND002
TL-0090,TCK-0023,MAG012,2026-08-24,MV-P010,3,20.20,60.60,VND003
TL-0091,TCK-0023,MAG012,2026-08-24,MV-P011,1,21.57,21.57,VND004
TL-0092,TCK-0023,MAG012,2026-08-24,MV-P012,2,22.94,45.88,VND005
TL-0093,TCK-0024,MAG001,2026-08-25,MV-P013,3,24.31,72.93,VND006
TL-0094,TCK-0024,MAG001,2026-08-25,MV-P014,1,25.68,25.68,VND007
TL-0095,TCK-0024,MAG001,2026-08-25,MV-P015,2,27.05,54.10,VND008
TL-0096,TCK-0024,MAG001,2026-08-25,MV-P016,3,28.42,85.26,VND001
TL-0097,TCK-0025,MAG002,2026-08-26,MV-P017,1,29.79,29.79,VND002
TL-0098,TCK-0025,MAG002,2026-08-26,MV-P018,2,31.16,62.32,VND003
TL-0099,TCK-0025,MAG002,2026-08-26,MV-P019,3,32.53,97.59,VND004
TL-0100,TCK-0025,MAG002,2026-08-26,MV-P020,1,33.90,33.90,VND005
TL-0101,TCK-0026,MAG003,2026-08-27,MV-P021,2,35.27,70.54,VND006
TL-0102,TCK-0026,MAG003,2026-08-27,MV-P022,3,36.64,109.92,VND007
TL-0103,TCK-0026,MAG003,2026-08-27,MV-P023,1,38.01,38.01,VND008
TL-0104,TCK-0026,MAG003,2026-08-27,MV-P024,2,39.38,78.76,VND001
TL-0105,TCK-0027,MAG004,2026-08-28,MV-P025,3,40.75,122.25,VND002
TL-0106,TCK-0027,MAG004,2026-08-28,MV-P026,1,42.12,42.12,VND003
TL-0107,TCK-0027,MAG004,2026-08-28,MV-P027,2,43.49,86.98,VND004
TL-0108,TCK-0027,MAG004,2026-08-28,MV-P028,3,44.86,134.58,VND005
TL-0109,TCK-0028,MAG005,2026-08-01,MV-P029,1,46.23,46.23,VND006
TL-0110,TCK-0028,MAG005,2026-08-01,MV-P030,2,47.60,95.20,VND007
TL-0111,TCK-0028,MAG005,2026-08-01,MV-P031,3,48.97,146.91,VND008
TL-0112,TCK-0028,MAG005,2026-08-01,MV-P032,1,50.34,50.34,VND001
TL-0113,TCK-0029,MAG006,2026-08-02,MV-P033,2,51.71,103.42,VND002
TL-0114,TCK-0029,MAG006,2026-08-02,MV-P034,3,53.08,159.24,VND003
TL-0115,TCK-0029,MAG006,2026-08-02,MV-P035,1,54.45,54.45,VND004
TL-0116,TCK-0029,MAG006,2026-08-02,MV-P036,2,55.82,111.64,VND005
TL-0117,TCK-0030,MAG007,2026-08-03,MV-P037,3,57.19,171.57,VND006
TL-0118,TCK-0030,MAG007,2026-08-03,MV-P038,1,58.56,58.56,VND007
TL-0119,TCK-0030,MAG007,2026-08-03,MV-P039,2,59.93,119.86,VND008
TL-0120,TCK-0030,MAG007,2026-08-03,MV-P040,3,61.30,183.90,VND001
TL-0121,TCK-0031,MAG008,2026-08-04,MV-P001,1,7.87,7.87,VND002
TL-0122,TCK-0031,MAG008,2026-08-04,MV-P002,2,9.24,18.48,VND003
TL-0123,TCK-0031,MAG008,2026-08-04,MV-P003,3,10.61,31.83,VND004
TL-0124,TCK-0031,MAG008,2026-08-04,MV-P004,1,11.98,11.98,VND005
TL-0125,TCK-0032,MAG009,2026-08-05,MV-P005,2,13.35,26.70,VND006
TL-0126,TCK-0032,MAG009,2026-08-05,MV-P006,3,14.72,44.16,VND007
TL-0127,TCK-0032,MAG009,2026-08-05,MV-P007,1,16.09,16.09,VND008
TL-0128,TCK-0032,MAG009,2026-08-05,MV-P008,2,17.46,34.92,VND001
TL-0129,TCK-0033,MAG010,2026-08-06,MV-P009,3,18.83,56.49,VND002
TL-0130,TCK-0033,MAG010,2026-08-06,MV-P010,1,20.20,20.20,VND003
TL-0131,TCK-0033,MAG010,2026-08-06,MV-P011,2,21.57,43.14,VND004
TL-0132,TCK-0033,MAG010,2026-08-06,MV-P012,3,22.94,68.82,VND005
TL-0133,TCK-0034,MAG011,2026-08-07,MV-P013,1,24.31,24.31,VND006
TL-0134,TCK-0034,MAG011,2026-08-07,MV-P014,2,25.68,51.36,VND007
TL-0135,TCK-0034,MAG011,2026-08-07,MV-P015,3,27.05,81.15,VND008
TL-0136,TCK-0034,MAG011,2026-08-07,MV-P016,1,28.42,28.42,VND001
TL-0137,TCK-0035,MAG012,2026-08-08,MV-P017,2,29.79,59.58,VND002
TL-0138,TCK-0035,MAG012,2026-08-08,MV-P018,3,31.16,93.48,VND003
TL-0139,TCK-0035,MAG012,2026-08-08,MV-P019,1,32.53,32.53,VND004
TL-0140,TCK-0035,MAG012,2026-08-08,MV-P020,2,33.90,67.80,VND005
TL-0141,TCK-0036,MAG001,2026-08-09,MV-P021,3,35.27,105.81,VND006
TL-0142,TCK-0036,MAG001,2026-08-09,MV-P022,1,36.64,36.64,VND007
TL-0143,TCK-0036,MAG001,2026-08-09,MV-P023,2,38.01,76.02,VND008
TL-0144,TCK-0036,MAG001,2026-08-09,MV-P024,3,39.38,118.14,VND001
TL-0145,TCK-0037,MAG002,2026-08-10,MV-P025,1,40.75,40.75,VND002
TL-0146,TCK-0037,MAG002,2026-08-10,MV-P026,2,42.12,84.24,VND003
TL-0147,TCK-0037,MAG002,2026-08-10,MV-P027,3,43.49,130.47,VND004
TL-0148,TCK-0037,MAG002,2026-08-10,MV-P028,1,44.86,44.86,VND005
TL-0149,TCK-0038,MAG003,2026-08-11,MV-P029,2,46.23,92.46,VND006
TL-0150,TCK-0038,MAG003,2026-08-11,MV-P030,3,47.60,142.80,VND007
TL-0151,TCK-0038,MAG003,2026-08-11,MV-P031,1,48.97,48.97,VND008
TL-0152,TCK-0038,MAG003,2026-08-11,MV-P032,2,50.34,100.68,VND001
TL-0153,TCK-0039,MAG004,2026-08-12,MV-P033,3,51.71,155.13,VND002
TL-0154,TCK-0039,MAG004,2026-08-12,MV-P034,1,53.08,53.08,VND003
TL-0155,TCK-0039,MAG004,2026-08-12,MV-P035,2,54.45,108.90,VND004
TL-0156,TCK-0039,MAG004,2026-08-12,MV-P036,3,55.82,167.46,VND005
TL-0157,TCK-0040,MAG005,2026-08-13,MV-P037,1,57.19,57.19,VND006
TL-0158,TCK-0040,MAG005,2026-08-13,MV-P038,2,58.56,117.12,VND007
TL-0159,TCK-0040,MAG005,2026-08-13,MV-P039,3,59.93,179.79,VND008
TL-0160,TCK-0040,MAG005,2026-08-13,MV-P040,1,61.30,61.30,VND001
TL-0161,TCK-0041,MAG006,2026-08-14,MV-P001,2,7.87,15.74,VND002
TL-0162,TCK-0041,MAG006,2026-08-14,MV-P002,3,9.24,27.72,VND003
TL-0163,TCK-0041,MAG006,2026-08-14,MV-P003,1,10.61,10.61,VND004
TL-0164,TCK-0041,MAG006,2026-08-14,MV-P004,2,11.98,23.96,VND005
TL-0165,TCK-0042,MAG007,2026-08-15,MV-P005,3,13.35,40.05,VND006
TL-0166,TCK-0042,MAG007,2026-08-15,MV-P006,1,14.72,14.72,VND007
TL-0167,TCK-0042,MAG007,2026-08-15,MV-P007,2,16.09,32.18,VND008
TL-0168,TCK-0042,MAG007,2026-08-15,MV-P008,3,17.46,52.38,VND001
TL-0169,TCK-0043,MAG008,2026-08-16,MV-P009,1,18.83,18.83,VND002
TL-0170,TCK-0043,MAG008,2026-08-16,MV-P010,2,20.20,40.40,VND003
TL-0171,TCK-0043,MAG008,2026-08-16,MV-P011,3,21.57,64.71,VND004
TL-0172,TCK-0043,MAG008,2026-08-16,MV-P012,1,22.94,22.94,VND005
TL-0173,TCK-0044,MAG009,2026-08-17,MV-P013,2,24.31,48.62,VND006
TL-0174,TCK-0044,MAG009,2026-08-17,MV-P014,3,25.68,77.04,VND007
TL-0175,TCK-0044,MAG009,2026-08-17,MV-P015,1,27.05,27.05,VND008
TL-0176,TCK-0044,MAG009,2026-08-17,MV-P016,2,28.42,56.84,VND001
TL-0177,TCK-0045,MAG010,2026-08-18,MV-P017,3,29.79,89.37,VND002
TL-0178,TCK-0045,MAG010,2026-08-18,MV-P018,1,31.16,31.16,VND003
TL-0179,TCK-0045,MAG010,2026-08-18,MV-P019,2,32.53,65.06,VND004
TL-0180,TCK-0045,MAG010,2026-08-18,MV-P020,3,33.90,101.70,VND005
TL-0181,TCK-0046,MAG011,2026-08-19,MV-P021,1,35.27,35.27,VND006
TL-0182,TCK-0046,MAG011,2026-08-19,MV-P022,2,36.64,73.28,VND007
TL-0183,TCK-0046,MAG011,2026-08-19,MV-P023,3,38.01,114.03,VND008
TL-0184,TCK-0046,MAG011,2026-08-19,MV-P024,1,39.38,39.38,VND001
TL-0185,TCK-0047,MAG012,2026-08-20,MV-P025,2,40.75,81.50,VND002
TL-0186,TCK-0047,MAG012,2026-08-20,MV-P026,3,42.12,126.36,VND003
TL-0187,TCK-0047,MAG012,2026-08-20,MV-P027,1,43.49,43.49,VND004
TL-0188,TCK-0047,MAG012,2026-08-20,MV-P028,2,44.86,89.72,VND005
TL-0189,TCK-0048,MAG001,2026-08-21,MV-P029,3,46.23,138.69,VND006
TL-0190,TCK-0048,MAG001,2026-08-21,MV-P030,1,47.60,47.60,VND007
TL-0191,TCK-0048,MAG001,2026-08-21,MV-P031,2,48.97,97.94,VND008
TL-0192,TCK-0048,MAG001,2026-08-21,MV-P032,3,50.34,151.02,VND001
TL-0193,TCK-0049,MAG002,2026-08-22,MV-P033,1,51.71,51.71,VND002
TL-0194,TCK-0049,MAG002,2026-08-22,MV-P034,2,53.08,106.16,VND003
TL-0195,TCK-0049,MAG002,2026-08-22,MV-P035,3,54.45,163.35,VND004
TL-0196,TCK-0049,MAG002,2026-08-22,MV-P036,1,55.82,55.82,VND005
TL-0197,TCK-0050,MAG003,2026-08-23,MV-P037,2,57.19,114.38,VND006
TL-0198,TCK-0050,MAG003,2026-08-23,MV-P038,3,58.56,175.68,VND007
TL-0199,TCK-0050,MAG003,2026-08-23,MV-P039,1,59.93,59.93,VND008
TL-0200,TCK-0050,MAG003,2026-08-23,MV-P040,2,61.30,122.60,VND001
